produto,estoque_max,estoque_atual,lead_time_reposicao,custo_produto
Milho Doce,439,7,6,1.3
Ervilha,367,25,7,3.1
Grão de Bico,330,33,3,1.33
Feijão Branco,194,5,4,2.45
Feijão Preto,202,30,4,2.22
Lentilha,236,1,5,0.86
Cenoura,378,7,8,1.57
Beterraba,280,27,5,2.05
Pepino em Conserva,586,4,7,1.93
Pimento Vermelho,292,2,4,3.13
Pimento Amarelo,334,24,9,2.75
Mistura de Legumes,208,10,9,2.4
Cogumelos,563,5,6,2.88
Tomate Pelado,268,28,3,0.87
Tomate Seco,444,1,3,2.36
Alcachofra,498,2,10,1.47
Espargos,308,12,6,1.07
Abobrinha,524,16,9,0.98
Berinjela,167,20,3,1.3
Chucrute,569,2,4,2.81
Palmito,357,2,8,2.48
Milho Baby,299,38,10,0.85
Cebola em Conserva,234,19,5,1.19
Alho em Conserva,317,34,4,2.71
Mix Mediterrâneo,293,24,7,2.55
Jardineira de Legumes,405,16,4,2.16
Feijão Vermelho,235,11,6,1.21
Feijão Frade,314,39,8,1.75
Soja,467,37,5,3.29
Espinafre,199,21,7,1.16
Brócolis,590,32,7,1.24
Couve Flor,169,8,3,2.67
Abóbora,228,15,10,1.78
Puré de Tomate,448,38,6,3.21
Milho Picante,256,8,10,1.73
Ervilha com Cenoura,493,3,5,1.49
Mix Asiático,182,18,3,1.7
Mix Orgânico,369,6,6,2.08
Legumes Grelhados,445,4,9,0.88
Pimento Assado,455,14,4,2.36
Feijão Manteiga,484,20,9,2.4
Lentilha Vermelha,221,8,9,1.24
