produto,estoque_max,estoque_atual,lead_time_reposicao,custo_produto
Tomate Pelado Inteiro,314,43,14,0.6
Tomate Triturado,428,113,14,0.42
Tomate Cereja em Conserva,758,164,10,1.26
Grão-de-Bico Cozido,500,0,2,0.63
Feijão Vermelho Cozido,438,301,10,0.57
Feijão Branco Cozido,403,372,14,0.75
Lentilhas Cozidas,425,271,10,0.75
Ervilhas em Conserva,206,60,14,0.45
Feijão Frade Cozido,484,127,3,0.93
Pimento Vermelho Assado,544,106,2,1.48
Pimento Amarelo em Tiras,567,408,10,1.3
Jalapeños Fatiados,244,210,7,1.06
Azeitona Preta s/ Caroço,587,138,10,1.04
Azeitona Verde Recheada,570,253,14,1.04
Azeitona Kalamata,433,191,2,2.45
Cogumelo Paris Inteiro,303,224,5,0.97
Cogumelo Paris Fatiado,573,223,5,0.92
Cogumelo Portobello,473,406,14,1.85
Corações de Alcachofra,375,310,14,1.61
Alcaparras em Salmoura,673,455,5,1.16
Milho Doce em Grão,770,301,14,0.48
Milho Baby,257,83,2,1.38
Palmito em Rodelas,610,335,2,1.76
Pepino em Pickle,780,400,3,1.18
Mix de Pickles,605,529,3,1.11
Cebola Pickled,452,426,10,1.06
Beterraba em Fatias,798,517,10,0.64
Beterraba Baby Inteira,424,112,10,1.15
Espargos em Conserva,248,244,2,1.88
Coração de Couve-flor,363,252,10,1.08
Couve Roxa Pickled,590,538,10,1.06
Tomate Seco em Azeite,766,87,14,3.19
Beringela Grelhada,749,347,14,2.42
Abóbora em Conserva,500,272,3,1.69
Curgete Marinada,469,302,3,2.0
Alho em Azeite,308,182,14,2.37
Cogumelo Trufa,403,118,5,5.31
Caldo de Legumes Concentrado,752,618,2,1.59
Sopa de Tomate Pronta,700,89,2,1.38
Creme de Legumes,514,173,2,1.15
Nabo em Conserva,1000,980,10,0.69
Rabanete Pickled,287,276,2,1.22
